source,title,publish_time,url,symbol_or_subject,dedup_key,duplicate_group_size,is_event,filter_reason,evidence,score_hint,event_score,event_threshold,rule_version
中国政府网/新华社,产业发展开创新局面——学习贯彻习近平总书记全国两会期间关于发展新质生产力重要论述系列述评之三,2026-04-02 21:44:00,https://www.gov.cn/yaowen/liebiao/202604/content_7064531.htm,政策/宏观,2a9e11a05fcc,1,true,event_signal_detected,"命中事件关键词: 支持|行业|规划; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:支持,规划|industry:科技,机器人,人形机器人|predictability:升级|duration:规划,长期",4,4,2,task1_rules_v1
中国政府网/新华社,国务院办公厅印发《关于建立企业信用状况综合评价体系的实施方案》,2026-04-02 17:04:00,https://www.gov.cn/yaowen/liebiao/202604/content_7064518.htm,政策/宏观,3fe9b9e62f35,1,true,event_signal_detected,"命中事件关键词: 国务院|支持|行业; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,支持|industry:none|predictability:none|duration:none",4,4,2,task1_rules_v1
中国政府网/新华社,李强在四川调研时强调：着力推进新型电网建设 加快能源结构调整优化 为经济社会高质量发展提供有力支撑,2026-04-01 19:44:00,https://www.gov.cn/yaowen/liebiao/202604/content_7064414.htm,政策/宏观,bdb523debbb7,1,true,event_signal_detected,"命中事件关键词: 国务院|支持|政策; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,支持|industry:新能源,光伏,电池|predictability:政策|duration:政策",4,4,2,task1_rules_v1
中国政府网/新华社,"税收数据显示：今年我国经济发展开局良好、向""新""发展",2026-04-01 17:24:00,https://www.gov.cn/lianbo/202604/content_7064408.htm,政策/宏观,90a4e051b87a,1,false,non_financial_noise,"命中非金融关键词: 娱乐; score=0; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:科技,算力|predictability:发布|duration:发布",0,0,2,task1_rules_v1
中国政府网/新华社,1至2月我国规模以上轻工业增加值同比增长7%,2026-04-01 07:30:00,https://www.gov.cn/yaowen/liebiao/202604/content_7064351.htm,政策/宏观,311fbe447d76,1,true,event_signal_detected,"命中事件关键词: 行业; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:行业|industry:消费,零售|predictability:none|duration:none",2,2,2,task1_rules_v1
中国政府网/新华社,科技创新实现新突破——学习贯彻习近平总书记全国两会期间关于发展新质生产力重要论述系列述评之一,2026-04-01 07:30:00,https://www.gov.cn/yaowen/liebiao/202604/content_7064349.htm,政策/宏观,22ba82e4702d,1,true,event_signal_detected,"命中事件关键词: 产业链|支持|政策|规划; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,支持,规划|industry:科技,芯片|predictability:政策,规划|duration:规划,长期",5,5,2,task1_rules_v1
中国政府网/央视网,科技赋能 让春耕春管更高效,2026-03-31 22:41:00,https://www.gov.cn/yaowen/liebiao/202603/content_7064339.htm,政策/宏观,5f767e58fe25,1,false,insufficient_signal,命中事件关键词: 无; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:无人机|predictability:none|duration:none,1,1,2,task1_rules_v1
中国政府网/央视网,今年前两个月轻工业经济运行起步稳健,2026-03-31 22:38:00,https://www.gov.cn/yaowen/liebiao/202603/content_7064334.htm,政策/宏观,098c5c80cbac,1,true,event_signal_detected,"命中事件关键词: 出口|政策|行业; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策|industry:消费,零售|predictability:政策|duration:政策",4,4,2,task1_rules_v1
中国政府网/新华社,九部门提出到2028年物联网核心产业规模突破3.5万亿元,2026-03-31 15:50:00,https://www.gov.cn/lianbo/202603/content_7064286.htm,政策/宏观,fceae5fe1e0c,1,false,insufficient_signal,命中事件关键词: 无; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:消费|predictability:升级|duration:none,1,1,2,task1_rules_v1
中国政府网/新华社,我国将加快推动前沿技术与航运产业深度融合,2026-03-30 14:28:00,https://www.gov.cn/lianbo/202603/content_7064163.htm,政策/宏观,f10e25e2dac2,1,true,event_signal_detected,"命中事件关键词: 产业链|国务院|措施; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,措施|industry:科技|predictability:none|duration:none",4,4,2,task1_rules_v1
中国政府网/人民日报,具身智能领域首份行业标准发布——推动技术成果产业化应用,2026-03-30 08:27:00,https://www.gov.cn/lianbo/202603/content_7064102.htm,政策/宏观,2894e48d6434,1,true,event_signal_detected,命中事件关键词: 行业; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:行业|industry:none|predictability:发布|duration:发布,2,2,2,task1_rules_v1
中国政府网/​人民日报,今年我国已批准上市10款创新药,2026-03-29 07:57:00,https://www.gov.cn/lianbo/202603/content_7064085.htm,政策/宏观,18a8d1f458cb,1,false,insufficient_signal,命中事件关键词: 无; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:none|predictability:none|duration:none,1,1,2,task1_rules_v1
中国政府网/央视网,赏花正当时 带动春日经济火热,2026-03-27 21:35:00,https://www.gov.cn/yaowen/liebiao/202603/content_7064034.htm,政策/宏观,5ec757a5b953,1,false,insufficient_signal,命中事件关键词: 无; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:消费|predictability:升级|duration:none,1,1,2,task1_rules_v1
中国政府网/人民日报,前2月高技术产业销售收入同比增长16.1%,2026-03-25 09:48:00,https://www.gov.cn/lianbo/202603/content_7063692.htm,政策/宏观,2774238867e1,1,false,insufficient_signal,命中事件关键词: 无; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:科技|predictability:升级|duration:发布,1,1,2,task1_rules_v1
中国政府网/人民日报,习近平总书记重要讲话激励广大干部群众锐意进取、真抓实干,2026-03-25 08:10:00,https://www.gov.cn/yaowen/liebiao/202603/content_7063668.htm,政策/宏观,febefa40802b,1,true,event_signal_detected,"命中事件关键词: 产业链|措施|支持; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:支持,措施|industry:科技|predictability:升级|duration:none",4,4,2,task1_rules_v1
国家发改委/价格司,关于优化完善无线电频率占用费标准的通知(发改价格〔2026〕413号),2026-03-27 15:02:08,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202603/t20260327_1404395.html,政策/通知,a74d362ae7f1,1,true,event_signal_detected,命中事件关键词: 国务院|财政; score=3; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院|industry:none|predictability:none|duration:none,3,3,2,task1_rules_v1
国家发改委/社会司,关于在全社会推进儿童友好建设的意见(发改社会〔2026〕258号),2026-03-17 08:40:35,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202603/t20260317_1404183.html,政策/通知,b5f9a94c57c9,1,false,non_financial_noise,"命中非金融关键词: 广告; score=0; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,支持,措施,规划|industry:旅游|predictability:政策,规划|duration:政策",0,0,2,task1_rules_v1
国家发改委/低空司,关于推动低空保险高质量发展的实施意见(发改低空〔2026〕123号),2026-02-12 16:09:43,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202602/t20260212_1403717.html,政策/通知,7f16deb45111,1,true,event_signal_detected,"命中事件关键词: 产业链|供需|出口|协会|国务院|措施|支持|政策|行业|规划; score=11; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,支持,措施,规划|industry:消费,旅游|predictability:政策,规划|duration:政策",11,11,2,task1_rules_v1
国家发改委/法规司,关于加快招标投标领域人工智能推广应用的实施意见(发改法规〔2026〕195号),2026-02-10 14:24:53,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202602/t20260210_1403680.html,政策/通知,122512f6620d,1,true,event_signal_detected,"命中事件关键词: 供需|公告|合同|国务院|政策|行业|规划; score=8; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,规划|industry:算力|predictability:公告,政策,规划,发布,签订|duration:政策,合同,发布",8,8,2,task1_rules_v1
国家发改委/经贸司,关于做好2026年春耕及全年化肥保供稳价工作的通知(发改经贸〔2026〕149号),2026-02-05 14:48:04,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202602/t20260205_1403611.html,政策/通知,e61c7ee1bfbe,1,true,event_signal_detected,"命中事件关键词: 供需|出口|协会|国务院|支持|政策|行业|证监会|财政; score=10; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,证监会,支持|industry:none|predictability:政策,发布|duration:政策,发布",10,10,2,task1_rules_v1
国家发改委/价格司,关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号),2026-01-30 10:24:49,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260130_1403524.html,政策/通知,e036002ccc2b,1,true,event_signal_detected,"命中事件关键词: 供需|合同|国务院|政策|行业|规划; score=7; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,规划|industry:新能源,储能|predictability:政策,规划,签订|duration:政策,合同",7,7,2,task1_rules_v1
国家发改委/价格司,关于进一步完善殡葬服务收费政策的通知(发改价格〔2026〕108号),2026-01-27 16:15:50,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260127_1403485.html,政策/通知,0e8b6b9ae16f,1,true,event_signal_detected,"命中事件关键词: 合同|国务院|措施|政策|行业|财政; score=7; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,措施|industry:none|predictability:政策,发布|duration:政策,合同,发布",7,7,2,task1_rules_v1
国家发改委/基础司,印发《关于推进城际铁路健康可持续发展的意见》的通知(发改基础〔2025〕1674号),2026-01-20 21:24:11,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260124_1403433.html,政策/通知,4f09374a8007,1,true,event_signal_detected,命中事件关键词: 国务院; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院|industry:none|predictability:none|duration:none,2,2,2,task1_rules_v1
国家发改委/环资司,关于印发《长株潭生态绿心加快绿色转型发展实施方案》的通知(发改环资〔2025〕1751号),2026-01-06 17:03:24,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260106_1403093.html,政策/通知,af488f9add7d,1,true,event_signal_detected,"命中事件关键词: 国务院|支持|证监会|财政; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,证监会,支持|industry:科技|predictability:none|duration:none",5,5,2,task1_rules_v1
国家发改委/环资司,关于印发《再生材料应用推广行动方案》的通知(发改环资〔2025〕1681号),2025-12-31 15:35:11,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251231_1402965.html,政策/通知,8ecf50ba532d,1,true,event_signal_detected,命中事件关键词: 国务院|财政; score=3; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院|industry:none|predictability:none|duration:none,3,3,2,task1_rules_v1
国家发改委/能源局,关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号),2025-12-31 15:16:11,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251231_1402949.html,政策/通知,4b221439c229,1,true,event_signal_detected,"命中事件关键词: 措施|支持|政策|行业|规划; score=6; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,支持,措施,规划|industry:新能源,储能|predictability:事故,升级|duration:政策",6,6,2,task1_rules_v1
国家发改委/环资司,关于2026年实施大规模设备更新和消费品以旧换新政策的通知(发改环资〔2025〕1745号),2025-12-30 17:54:30,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251230_1402851.html,政策/通知,75c00c574464,1,true,event_signal_detected,"命中事件关键词: 国务院|并购|支持|政策|行业|规划|财政; score=8; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,支持,规划|industry:新能源,电池|predictability:政策,规划,发布|duration:政策,发布",8,8,2,task1_rules_v1
国家发改委/低空司,关于印发《低空经济及其核心产业统计分类(试行)》的通知(发改低空〔2025〕1676号),2025-12-26 16:47:48,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402669.html,政策/通知,178d31827730,1,false,insufficient_signal,命中事件关键词: 无; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:none|predictability:none|duration:none,1,1,2,task1_rules_v1
国家发改委/环资司,关于印发《国家级零碳园区建设名单(第一批)》的通知(发改办环资〔2025〕1082号),2025-12-26 09:54:51,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,政策/通知,90e4e900e030,1,true,event_signal_detected,"命中事件关键词: 支持|政策|规划; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,支持,规划|industry:新能源|predictability:政策,规划|duration:政策",4,4,2,task1_rules_v1
国家发改委/价格司,关于完善幼儿园收费政策的通知(发改价格〔2025〕1644号),2025-12-23 09:05:16,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251223_1402550.html,政策/通知,50ca558c7be5,1,true,event_signal_detected,"命中事件关键词: 供需|国务院|措施|支持|政策|行业|财政; score=8; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,支持,措施|industry:none|predictability:政策,发布,签订|duration:政策,发布",8,8,2,task1_rules_v1
国家发改委/能源局,关于促进光热发电规模化发展的若干意见(发改能源〔2025〕1645号),2025-12-23 08:47:52,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251223_1402540.html,政策/通知,37b97396c715,1,true,event_signal_detected,"命中事件关键词: 产业链|技术突破|措施|支持|政策|行业|规划; score=8; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,支持,措施,规划|industry:新能源,储能,光伏,风电,电池|predictability:政策,规划|duration:规划,技术突破,长期",8,8,2,task1_rules_v1
国家发改委/运行局,关于发布《煤炭清洁高效利用重点领域标杆水平和基准水平(2025年版)》的通知(发改运行〔2025〕1499号),2025-12-17 15:54:41,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251217_1402480.html,政策/通知,30ff94f6ff9a,1,true,event_signal_detected,"命中事件关键词: 国务院|支持|政策|行业; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,国务院,支持|industry:none|predictability:政策,发布|duration:政策,发布",5,5,2,task1_rules_v1
国家发改委/能源局,关于优化集中式新能源发电企业市场报价的通知(试行)(发改能源〔2025〕1476号),2025-12-11 14:36:29,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251211_1402340.html,政策/通知,43e3741ed44e,1,true,event_signal_detected,"命中事件关键词: 国务院|措施; score=3; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,措施|industry:新能源|predictability:none|duration:长期",3,3,2,task1_rules_v1
中国证监会/证监会,国务院公布《国务院关于进一步贯彻实施〈中华人民共和国行政处罚法〉的通知》,2025-10-12 22:43:35,https://www.csrc.gov.cn/csrc/c100028/c1615676/content.shtml,政策/监管,5447ed67a885,1,true,event_signal_detected,"命中事件关键词: 国务院|证监会; score=3; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,证监会|industry:none|predictability:发布|duration:发布",3,3,2,task1_rules_v1
中国证监会/证监会,证监会组织开展“读懂上市公司报告”投资者教育专项活动,2025-10-12 22:47:45,https://www.csrc.gov.cn/csrc/c100028/c1615671/content.shtml,政策/监管,47868fa9cbbb,1,true,event_signal_detected,"命中事件关键词: 协会|国务院|证监会; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,证监会|industry:none|predictability:发布|duration:发布",4,4,2,task1_rules_v1
中国证监会/证监会,陈华平任深圳证券交易所党委书记,2025-10-12 17:25:23,https://www.csrc.gov.cn/csrc/c100028/c1605899/content.shtml,政策/监管,2838084ecfde,1,false,insufficient_signal,命中事件关键词: 无; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:none|predictability:none|duration:none,1,1,2,task1_rules_v1
中国证监会/证监会,证监会新闻发言人答记者问,2025-10-12 17:25:02,https://www.csrc.gov.cn/csrc/c100028/c1605830/content.shtml,政策/监管,b4680af27f39,1,true,event_signal_detected,"命中事件关键词: 措施|政策|行业|证监会; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,证监会,措施|industry:none|predictability:政策|duration:政策",5,5,2,task1_rules_v1
中国证监会/证监会,证监会有关负责人就恒大集团风险事件答记者问,2025-10-12 17:25:04,https://www.csrc.gov.cn/csrc/c100028/c1605816/content.shtml,政策/监管,8d21de12d187,1,true,event_signal_detected,"命中事件关键词: 公告|支持|行业|证监会; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:证监会,支持|industry:none|predictability:公告|duration:none",5,5,2,task1_rules_v1
中国证监会/证监会,中国证监会召开国际顾问委员会第十八次会议,2025-10-12 22:43:16,https://www.csrc.gov.cn/csrc/c100028/c1605812/content.shtml,政策/监管,49fe7cc87707,1,true,event_signal_detected,命中事件关键词: 证监会; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:证监会|industry:none|predictability:none|duration:none,2,2,2,task1_rules_v1
中国证监会/证监会,中国证监会原发审委委员、上海证券交易所原科创板上市审核中心副主任操舰严重违纪违法被开除党籍和公职,2025-10-12 22:44:57,https://www.csrc.gov.cn/csrc/c100028/c1605559/content.shtml,政策/监管,a4b9479ef8e4,1,true,event_signal_detected,命中事件关键词: 证监会; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:证监会|industry:none|predictability:none|duration:长期,2,2,2,task1_rules_v1
中国证监会/证监会,证监会同意开展证券公司账户管理功能优化试点,2025-10-12 22:42:56,https://www.csrc.gov.cn/csrc/c100028/c1605527/content.shtml,政策/监管,0221dc0230e9,1,true,event_signal_detected,"命中事件关键词: 协会|支持|行业|证监会; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:证监会,支持|industry:none|predictability:none|duration:none",5,5,2,task1_rules_v1
中国证监会/证监会,证监会有关部门负责人就相关媒体报道答记者问,2025-10-12 22:45:02,https://www.csrc.gov.cn/csrc/c100028/c1605514/content.shtml,政策/监管,c76fb631c021,1,true,event_signal_detected,命中事件关键词: 证监会; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:证监会|industry:none|predictability:none|duration:none,2,2,2,task1_rules_v1
中国证监会/证监会,证监会就《证券期货行政执法当事人承诺制度实施规定（征求意见稿）》公开征求意见,2025-10-12 22:42:52,https://www.csrc.gov.cn/csrc/c100028/c1603534/content.shtml,政策/监管,b9f3435097c0,1,true,event_signal_detected,"命中事件关键词: 公告|冲突|国务院|支持|证监会; score=6; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,证监会,支持|industry:none|predictability:冲突|duration:冲突",6,6,2,task1_rules_v1
中国证监会/证监会,证监会就《证券期货行政执法当事人承诺金管理办法（征求意见稿）》公开征求意见,2025-10-12 22:45:04,https://www.csrc.gov.cn/csrc/c100028/c1600566/content.shtml,政策/监管,c8759cfb0072,1,true,event_signal_detected,"命中事件关键词: 国务院|证监会|财政; score=4; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,证监会|industry:none|predictability:发布|duration:发布",4,4,2,task1_rules_v1
中国证监会/证监会,李克强签署国务院令 公布《证券期货行政执法当事人承诺制度实施办法》,2025-10-12 17:25:22,https://www.csrc.gov.cn/csrc/c100028/c1600543/content.shtml,政策/监管,783f05080f17,1,true,event_signal_detected,"命中事件关键词: 国务院|措施; score=3; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,措施|industry:none|predictability:none|duration:none",3,3,2,task1_rules_v1
中国证监会/证监会,证券期货行政执法当事人承诺制度实施办法,2025-10-12 17:25:25,https://www.csrc.gov.cn/csrc/c100028/c1600493/content.shtml,政策/监管,8ef8ebe55895,1,true,event_signal_detected,"命中事件关键词: 公告|国务院|措施|财政; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,措施|industry:none|predictability:公告|duration:none",5,5,2,task1_rules_v1
中国证监会/证监会,为完善资本市场基础制度建设提供法治保障——司法部、中国证监会负责人就《证券期货行政执法当事人承诺制度实施办法》有关问题答记者问,2025-10-12 17:25:09,https://www.csrc.gov.cn/csrc/c100028/c1598150/content.shtml,政策/监管,f3ad45e7f7d5,1,true,event_signal_detected,"命中事件关键词: 公告|冲突|国务院|措施|证监会|财政; score=7; threshold=2; rule_version=task1_rules_v1; dimensions=subject:国务院,证监会,措施|industry:none|predictability:公告,发布|duration:冲突",7,7,2,task1_rules_v1
中国证监会/中国证监会,证监会就上市公司监管法规体系整合涉及相关规则公开征求意见,2025-10-12 22:42:59,https://www.csrc.gov.cn/csrc/c100028/c1556032/content.shtml,政策/监管,13cd4990b5ce,1,true,event_signal_detected,"命中事件关键词: 公告|冲突|回购|国务院|并购|政策|证监会|重组; score=9; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告,并购,重组,回购|industry:none|predictability:公告,政策,发布|duration:政策,发布",9,9,2,task1_rules_v1
中国证监会/中国证监会,中国证监会原发审委委员、上海监管局原调研员、国泰君安证券股份有限公司投资银行部总经理朱毅接受监察调查,2025-10-12 22:44:49,https://www.csrc.gov.cn/csrc/c100028/c1556030/content.shtml,政策/监管,0be8bdb6dbf9,1,true,event_signal_detected,命中事件关键词: 证监会; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:证监会|industry:none|predictability:none|duration:none,2,2,2,task1_rules_v1
上交所/最新公告,迈威生物关于刊发H股发行聆讯后资料集的公告,2026-04-03 07:33:00,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-03/688062_20260403_Q5JX.pdf,688062,972d56d037f5,1,true,event_signal_detected,命中事件关键词: 公告; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告|industry:none|predictability:公告|duration:none,2,2,2,task1_rules_v1
上交所/最新公告,晋西车轴第八届董事会第十二次会议决议公告,2026-04-03 00:00:00,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-03/600495_20260403_TNNM.pdf,600495,8947cb19b522,1,true,event_signal_detected,命中事件关键词: 公告; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告|industry:none|predictability:公告|duration:none,2,2,2,task1_rules_v1
上交所/最新公告,晋西车轴与兵工财务有限责任公司关联存贷款等金融业务的风险评估报告（2025年度）,2026-04-03 00:00:00,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-03/600495_20260403_L5NA.pdf,600495,aed717bb8b07,1,true,event_signal_detected,命中事件关键词: 公告; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告|industry:none|predictability:公告|duration:none,2,2,2,task1_rules_v1
上交所/最新公告,晋西车轴董事会关于独立董事独立性情况的专项意见,2026-04-03 00:00:00,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-03/600495_20260403_L4NY.pdf,600495,07a2cc9d8a2d,1,true,event_signal_detected,命中事件关键词: 公告; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告|industry:none|predictability:公告|duration:none,2,2,2,task1_rules_v1
上交所/最新公告,晋西车轴董事会审计委员会2025年度对会计师事务所履行监督职责情况报告,2026-04-03 00:00:00,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-03/600495_20260403_ME8E.pdf,600495,d1c2b96bb9e4,1,true,event_signal_detected,命中事件关键词: 公告; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告|industry:none|predictability:公告|duration:none,2,2,2,task1_rules_v1
上交所/最新公告,晋西车轴对会计师事务所2025年度履职情况评估报告,2026-04-03 00:00:00,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-03/600495_20260403_1WBF.pdf,600495,7173d608fa5c,1,true,event_signal_detected,命中事件关键词: 公告; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告|industry:none|predictability:公告|duration:none,2,2,2,task1_rules_v1
